Título 1,Título 2,Data,Local,Conteúdo
"Corinthians é rejeitado por dirigente do Fortaleza, e Augusto Melo sofre nova ‘derrota’",Timão busca reestruturar diretoria após saídas,2024-06-12 19:22:00,São Paulo (SP),"- Conforme divulgado pela imprensa, fui convidado a assumir o cargo de CEO do Corinthians. Trata-se de um reconhecimento pelo trabalho dedicado, desenvolvido junto a uma diretoria de extrema competência no Fortaleza, ao longo dos últimos sete anos, em um processo árduo de profissionalização e estabelecimento de equilíbrio fiscal. Entendo que ainda há muito por fazer pelo Tricolor e, por isso, comunico minha permanência no cargo de CEO do Fortaleza - diz trecho do comunicado.
Com isso, a gestão de Augusto Melo sofre uma nova ""derrota"" nos bastidores. Após perder o patrocínio da VaideBet, o Corinthians também contou com as saídas de Rozallah Santoro e Fernando Alba, que eram diretores financeiros e de futebol, respectivamente.
No campo, o Timão acumulou o quarto jogo consecutivo sem vitória e segue muito próximo da zona de rebaixamento. A equipe de António Oliveira se prepara para o clássico com o São Paulo, no domingo (16).
"
"Com emoção até o fim, Botafogo empata com o Athletico e segue líder do Brasileirão",Gols foram marcados por Mastriani e Bastos,2024-06-19 21:04:00,Rio de Janeiro (RJ),"No primeiro tempo, o Botafogo foi melhor, mas quem teve a chance mais clara foi o Furacão, que quase balançou as redes com Fernandinho. Com mais posse, mas sem objetividade e criatividade, o Glorioso ficou preso na forte marcação do Athletico, que encontrava espaços no contra ataque.
No segundo tempo, o Athletico-PR seguiu com a estratégia. Defendia bem, se fechava e ocupava o meio campo. Mesmo sem tantas chances, o Furacão chegou, de forma mansa, e abriu o placar com Mastriani. Afobado, o Botafogo até tentou reagir, mas foi ficando cada vez mais desorganizado até o fim da partida. No fim, o Furacão não segurou Bastos, que subiu no segundo andar e empatou a partida.
✅ FICHA TÉCNICABOTAFOGO X ATHLETICOBRASILEIRÃO - 10ª RODADA
🗓️ Data e horário: quinta-feira, 19 de junho de 2024, às 19h📍 Local: Estádio Nilton Santos, no Rio de Janeiro (RJ)📺 Onde assistir: Sportv e Premiere🟨 Árbitro: Ramon Abatti Abel (Fifa-SC)🚩 Assistentes: Alex dos Santos (SC) e Gizeli Casaril (SC)📺 VAR: Igor Junior Benevenuto (VAR Fifa-MG).
⚽ ESCALAÇÕES:BOTAFOGO (Técnico: Artur Jorge)Jhon; Damián Suárez, Bastos, Lucas Halter e Cuiabano; Gregore, Marlon Freitas e Tchê Tchê; Luiz Henrique, Júnior Santos e Tiquinho Soares.
ATHLETICO (Técnico: Cuca)Léo Linck; Léo Godoy (Madson), Kaique Rocha, Thiago Heleno e Lucas Esquivel; Fernandinho, Erick e Cuello; Christian, Nikão e Mastriani (Pablo).
"
Denílson reprova atitude de Hulk em Atlético-MG x Palmeiras: ‘Reclama muito’,Atacante foi expulso por reclamação,2024-06-18 16:55:00,Rio de Janeiro,"O ex-jogador, Denílson, não gostou da atitude de Hulk na partida entre Atlético-MG e Palmeiras, pelo Brasileirão. O atacante acabou expulso por reclamação e foi criticado pelo comentarista pela sua postura com a arbitragem.
- O Hulk já há algum tempo reclama muito acintosamente com a arbitragem. Eu acho que o Hulk tem que tirar um pouco o pé nesse sentido da reclamação.
Durante o programa ""Jogo Aberto"", Denílson elogiou Hulk como atleta.
- Ele é um fenômeno. Ele é um dos melhores jogadores que nós temos no futebol brasileiro. Ontem, ele deu uma arrancada lá passando por cima de todo mundo e eu falei, caramba, realmente ele como atleta, ele vem jogando muito bem nesse período que ele está no futebol brasileiro. Mas ele precisa se controlar um pouquinho mais.
Denílson ainda avaliou o lado da arbitragem em situações como essa.
- Alguns árbitros tem um pouquinho mais de paciência. Assimila melhor, tenta buscar ali um diálogo com o atleta e outros árbitros não tem paciência, que é o caso do Rodrigo, que acabou dando um cartão amarelo para ele e, na súmula, ele fala que quando tem a disputa de bola do Hulk ali no meio de dois jogadores do Palmeiras, o Hulk já levanta falando, apita rápido, por que que não pinta? Então, o jeito que o Hulk levanta, gritando com o árbitro, vem o amarelo, que incomodou o árbitro.
"
"Criciúma x Brusque: onde assistir, horário e escalações da final do Catarinense",Confira as principais informações sobre o duelo válido pela final do Catarinense,2024-04-06 07:00:00,Criciúma (SC),"FICHA TÉCNICACRICIÚMA x BRUSQUE - FINAL (2º JOGO) - CAMPEONATO CATARINENSE 2024
Data e horário: sábado, 6 de abril de 2024, às 16h30 (de Brasília)
Local: Estádio Heriberto Hulse, em Santa CatarinaOnde assistir:  NSC TV (ABERTA em SC) e na MBTV (Youtube).Arbitragem: Ramon Abatti Abel (SC)
PROVÁVEIS ESCALAÇÕESCRICIÚMA (Técnico: Cláudio Tencati.)Gustavo; Claudinho, Rodrigo, Tobias Figueiredo e Marcelo Hermes; Barreto, Meritão, Marquinhos Gabriel e Fellipe Mateus; Éder e Renato Kayzer.Desfalques:  Wilker Ángel e Jonathan (dúvida)
BRUSQUE (Técnico: Luizinho Lopes.)Matheus Nogueira; Ronei, Ianson, Wallace e Alex Ruan; Rodolfo Potiguar, Serrato (Dionisio) e Jhemerson; Paulinho Moccelin (Dentinho), Diego Tavares e Guilherme Queiróz (Olávio).
"
"Helinho marca duas vezes e RB Bragantino, com um a menos, vence o Juventude no Brasileirão",Massa Bruta faz o dever de casa e bate o Juventude por 2 a 1 ,2024-06-15 20:38:00,Rio de Janeiro,"✅ FICHA TÉCNICARB BRAGANTINO 2 X 1 JUVENTUDE9ª RODADA - CAMPEONATO BRASILEIRO
🗓️ Data e horário: sábado, 15 de junho de 2024, às 18h30 (de Brasília);📍 Local: Nabi Abi Chedid, em Bragança Paulista (SP);🟨 Árbitro: Emerson Ricardo de Almeida Andrade (BA);🚩 Assistentes:  Alessandro Alvaro Rocha de Matos (BA) e Danielle Coutinho Pinto (BA);🚩 VAR: Diego Pombo Lopez (BA).
RB BRAGANTINO (Técnico: Pedro Caixinha)Cleiton; Jadsom, Pedro Henrique, Eduardo, Luan Cândido, Matheus Fernandes, Lucas Evangelista, Gustavinho, Helinho, Thiago Borbas e Henry Mosquera.
JUVENTUDE (Técnico: Roger Machado)Gabriel Vasconcelos; João Lucas, Danilo Boza, Rodrigo Sam e Alan Ruschel; Caíque, Luis Oyama, Luis Mandaca, Lucas Barbosa, Gilberto e Marcelinho.
"
Torcedores de Palmeiras e Cruzeiro se dividem em ‘caso Dudu’: ‘Se queimou’,Atacante anunciou que fica no Verdão,2024-06-17 21:03:00,São Paulo (SP),"Além do pronunciamento de Dudu, o Cruzeiro se manifestou oficialmente dizendo que quer ""atletas de palavra"" em seu elenco. Cruzeirenses apoiaram o pronunciamento do clube, enquanto palmeirenses se dividiram entre comemorar a permanência e criticar o ídolo.

O empresário André Cury, que agencia Dudu, informou que a negociação existia, mas ainda com passos a serem seguidos.
"
Bernard se apresenta no Atlético-MG após 10 anos de saída do clube; veja as imagens,Clube e jogador acertaram os termos em contrato até 2027,2024-06-19 12:48:00,"Belo Horizonte, Minas Gerais","Contratado no dia 2 de fevereiro, o atacante acertou os termos com a equipe mineira para o retorno a Belo Horizonte, mas só poderá atuar em campo quando for inscrito no BID - Boletim Informativo Diário da CBF -a partir do dia 10 de julho, na abertura da janela de transferências.
Campeão da Libertadores em 2013, Bernard retorna ao Galo 10 anos depois de sua despedida do clube, quando foi transferido para o Shaktar Donetsk e permaneceu distante do futebol brasileiro. Na última temporada, o jogador foi campeão com o Panathinaikos da Grécia com participação direta no gol do título.
O Atlético prepara um cronograma especial, simulando uma pré-temporada para o atleta. Bernard teve cerca de 15 dias de férias e contará com três semanas de preparação para o começo da nova caminhada com a camisa do Galo.
Veja as imagens divulgadas nas redes sociais do Atlético-MG:
"
Brasileirão sem rebaixamento não partiu de clubes do RS,Proposta defendida por Renato Portaluppi foi debatida em conversas informais entre dirigentes,2024-05-22 10:23:00,Rio de Janeiro (RJ),"A pauta será debatida na próxima segunda-feira (27), no Conselho Técnico da CBF. No entanto, parece difícil que não haver rebaixamento no Brasileirão deste ano não é uma solução viável aos olhos da entidade. Anteriormente, o presidente Ednaldo Rodrigues havia rechaçado a ideia de ""proteger"" os clubes gaúchos de possíveis quedas à Série B.
Por sua vez, o Grêmio entende que a isonomia do Campeonato Brasileiro está prejudicada, mesmo com o adiamento de jogos. O Imortal jogará longe de sua Arena por boa parte da competição, fato visto internamente como grande prejuízo técnico. Além disso, o Renato Gaúcho citou a condição psicológica e emocional de jogadores como fator de desiquilíbrio.
– Tem muita gente que acha que as águas do (lago) Guaíba vão baixar e vai tudo voltar ao normal. Acho que muita coisa, infelizmente, vai continuar acontecendo. E a parte psicológica dos jogadores vai ficar afetada. (...) Acho que seria a melhor ideia (não ter rebaixamento no Brasileirão), mas não cabe a mim. Eu penso dessa forma – disse o técnico do Grêmio, em entrevista ao Sportv.
Enquanto o Brasileirão não volta, o Imortal treina no CT Joaquim Grava, que pertence ao Corinthians, em São Paulo. Além disso, disputará as partidas restantes da fase de grupos da Libertadores, contra The Strongest e Estudiantes, no Couto Pereira, em Curitiba.
"
"Júnior Santos marca, e Botafogo avança para a oitavas da Copa do Brasil",Fogão venceu as duas partidas do confronto,2024-05-22 21:36:00,Salvador (BA),"Com o triunfo, o Fogão avançou para as oitavas de final da Copa do Brasil. Por sua vez, o Vitória fica pelo caminho e concentra as suas forças no Campeonato Brasileiro.
O Botafogo volta a campo na terça-feira (28) e encara o Argentino Juniors, pela Libertadores. O Vitória aguarda uma definição em relação as jogos do Brasileirão.
✅ FICHA TÉCNICAVitória 1 x 2 Botafogo - Copa do Brasil3ª fase
🗓️ Data e horário: terça-feira, 22 de maio de 2024, às 19h (hora de Brasília)📍 Local: Barradão, Salvador (BA)📺 Onde assistir: Premiere e SporTV🟨 Árbitro: Rodrigo José Pereira de Lima (Fifa/PE), Assistentes: Guilherme Dias Camilo (Fifa/MG) e Francisco Chaves Bezerra Júnior (PE), VAR: Rodolpho Tosques Marques (Fifa-PR)
VitóriaLucas Arcanjo; Zeca, Bruno Uvini, Wagner Leonardo e PK; Dudu, Daniel Júnior, Rodrigo Andrade e Matheusinho; Lury Castilho e Luiz Adriano. Técnico: Tiago Carpini.
BotafogoJohn; Damián Suárez, Lucas Halter, Bastos e Cuiabano; Danilo Barbosa e Marlon Freitas, Tchê Tchê; Luiz Henrique, Jefferson Savarino e Júnior Santos. Técnico: Artur Jorge.

"
Caio Ribeiro faz reflexão preocupante sobre o Corinthians após nova derrota; veja,"Alvinegro perdeu novamente no Brasileirão, desta vez para o Internacional",2024-06-20 06:00:00,São Paulo (SP),"- O que me preocupa no Corinthians não é só o resultado e o baixo rendimento. É não ver um norte, não ver um projeto, não ver uma ideia dentro do clube. Perde o patrocinador máster, perde o goleiro… E você olha para esse elenco, e vê que é limitadíssimo - começou Caio Ribeiro.
- Na parte técnica, dá poucas opções. Com que dinheiro vai contratar? A gente tinha que chegar agora na janela de julho e pensar em quatro, cinco reforços para tornar esse time competitivo. Só que o cenário é muito ruim. O campeonato do Corinthians é muito preocupante - completou.
Com o resultado, o Corinthians entrou na zona de rebaixamento, com apenas seis pontos. Na próxima rodada, a equipe encara o Athletico Paranaense fora de casa. A última vitória do clube aconteceu no fim de abril, contra o Fluminense. Desde então, são três empates e três derrotas.
"
"Cuiabá x Vitória: onde assistir, escalações e horário do jogo pelo Brasileirão","Confira as principais informações do jogo atrasado da segunda rodada da competição
",2024-06-05 07:00:00,São Paulo (SP),"Confira todas as informações que você precisa saber sobre o confronto entre Cuiabá e Vitória (onde assistir, horário, escalações e local).
✅ FICHA TÉCNICACuiabá x VitóriaBrasileirão - 2ª rodada
⚽ PROVÁVEIS ESCALAÇÕES
CUIABÁ (Técnico: Petit)Walter; Matheus Alexandre, Marllon, Bruno Alves e Rikelme; Lucas Mineiro, Fernando Sobral e Guilherme Madruga; Jonathan Cafú, Clayson e Isidro Pitta.
VITÓRIA (Técnico: Thiago Carpini)Lucas Arcanjo; Willean Lepo, Bruno Uvini, Wagner Leonardo e Lucas Esteves; Willian Oliveira (Léo Naldi), Jean Mota e Matheusinho; Daniel Jr. Iury Castilho e Alerrandro.
"
"Torcida do Santos vai à loucura com falha de Tadeu, goleiro do Goiás: ‘Muito santista’","Peixe volta a vencer após quatro derrotas consecutivas na Série B
",2024-06-19 21:28:00,São Paulo (SP),"
"
"Internacional x Corinthians: onde assistir ao vivo, horário e escalações do jogo pelo Brasileirão",Confira as principais informações do duelo válido pela décima rodada do Campeonato Brasileiro ,2024-06-19 07:00:00,Florianópolis (SC),"Confira todas as informações que você precisa saber sobre o confronto entre Internacional e Corinthians (onde assistir, horário, escalações e local).
✅ FICHA TÉCNICAINTERNACIONAL X CORINTHIANSBRASILEIRÃO - 10ª RODADA
🗓️ Data e horário: quarta-feira, 19 de junho de 2024, às 21h30 (de Brasília)📍 Local: Estádio orlando Scarpelli, em Florianópolis (SC)📺 Onde assistir: Globo e Premiere🟨 Árbitro: Wagner do Nascimento Magalhães🚩 Assistentes: Luiz Claudio Regazone e Carlos Henrique Alves de Lima Filho 🖥️ VAR: Wagner Reway 
⚽ PROVÁVEIS ESCALAÇÕES
INTERNACIONAL (Técnico: Eduardo Coudet)Fabrício; Bustos, Igor Gomes, Fernando, Robert Renan; Thiago Maia, Hyoran, Bruno Gomes, Wanderson; Wesley, Alario
CORINTHIANS (Técnico: António Oliveira)Matheus Donelli; Matheuzinho, Gustavo Henrique, Cacá e Hugo; Raniele, Breno Bidon, Garro e Igor Coronado; Wesley e Yuri Alberto.

"
Diretor da Inter de Milão confirma interesse em jogador da Seleção Brasileira,Atleta foi procurado pelo Benfica no passado,2024-05-15 11:02:00,Milão (ITA),"- Estamos felizes com os nossos goleiros, eles tiveram um bom desempenho, é claro que pensando no futuro, o Bento é um dos nomes que estamos avaliando, que temos observado muito de perto, ele está progredindo muito com a convocação da seleção brasileira. Ainda é prematuro - disse o diretor da Inter.
Desde o ano passado, o goleiro do Furacão tem recebido diversas propostas, mas o clube recusou acreditando que poderia pedir ainda mais pelo atleta.
Atuais campeões do Campeonato Italiano, a Inter está trabalhando para garantir novos contratos a várias estrelas, incluindo Lautaro Martínez, antes de mudar seu foco para a janela de transferências, onde tentará reforçar o elenco de Simone Inzaghi para a temporada 2024/25.
- Como todos os mercados também este ano haverá dificuldades, este é um grupo que tem estado muito, muito bem, teremos que mudar o mínimo possível. Estamos orgulhosos de ter colocado dois jogadores como Zielinski e Taremi no nosso elenco, estamos orgulhosos de terem nos escolhido - concluiu.
"
Web reage à eliminação do Bahia na Copa do Nordeste: ‘Gastaram milhões para isso?’,Esquadrão de Aço foi derrotado pelo CRB na semifinal da competição regional,2024-05-26 21:43:00,Rio de Janeiro (RJ),"Torcedores de diversos times comentaram o resultado na partida via redes sociais. A queda do Tricolor para um adversário considerado inferior tecnicamente surpreendeu o mundo do futebol, que tinha a equipe como favorita par conquistar a competição. Internautas citaram a quantia milionária gasta pelo Bahia na temporada e relembraram o vice-campeonato no Baiano para o Vitória.
Confira abaixo algumas postagens de torcedores na web sobre a eliminação do Tricolor na Copa do Nordeste:
"
Neto detona titular recém-contratado após derrota do Corinthians: ‘Esse é um pé de rato’,Ex-jogador ainda deu nota para a atuação do atleta,2024-06-20 00:16:00,São Paulo (SP),"O ex-jogador do Corinthians, Craque Neto, não gostou nem um pouco da atuação de Matheuzinho. A partida do lateral na derrota do Timão para o Internacional, pelo Brasileirão, gerou críticas até a contratação do jogador. Confira:
- Esse é um pé de rato. O meu querido, meu maravilhoso Matheuzinho. É um absurdo quando você tem um jogador medíocre como esse Matheuzinho, que custou 5 milhões de euros por 70%.
O apresentador foi perguntado ainda qual seria a nota, de zero a dez, para avaliar o desempenho do atleta recém-contratado pelo Corinthians no jogo. Neto respondeu que é nota seria ""menos um"". Os comentários foram feitos na transmissão da Rádio Craque Neto, no Youtube.

"
"Zeca revela pedido de rescisão, mas reforça carinho pelo Vitória",Lateral-direito estava no clube baiano desde 2023,2024-05-25 16:57:00,Salvador (BA),"O Vitória anunciou a rescisão de contrato com o capitão da sua equipe, o lateral Zeca. Desde 2023 no clube baiano, o defensor de 30 anos foi peça decisiva na campanha do acesso e título da Série B da temporada passada. Em 2024, Zeca também ajudou o Vitória a conquistar o título baiano, que desde 2017 não voltava pro Barradão. Nestas duas competições que levantou a taça, também foi escolhido o melhor lateral do campeonato.
No total, foram 65 jogos com a camisa do clube, com 2 gols marcados e 4 assistências diretas pra gol. No Vitória Zeca voltou a ganhar sequência de jogos, assumiu rapidamente a titularidade e se tornou referência para equipe por sua experiência e liderança.
Apesar da rescisão que pegou o torcedor de surpresa, o atleta reforça que se orgulha de ter vestido as cores do clube e destaca que os motivos de sua saída não apagam a sua trajetória vitoriosa no Vitória em 2023 e 2024.
- Sempre me senti muito bem no Vitória e transformei o Barradão na minha segunda casa. O orgulho de ter jogado aqui ninguém vai me tirar e o meu compromisso desde o primeiro dia se mostrou em campo com a excelente campanha na temporada passada e o nosso bom momento no início deste ano - disse Zeca. E completou:
- Conseguimos devolver o clube a elite do futebol e o que fez isso foi a união de todo grupo e comissão. A minha saída nesse momento se deve ao meu entendimento que o ciclo por aqui terminou. Algumas coisas estão mudando no clube e prefiro seguir meu caminho, trabalhando e fazendo a minha parte pra assumir um novo desafio na minha carreira. Agradeço, de coração, o carinho de todos e a oportunidade de viver esse período junto de vocês, companheiros, membros da comissão e demais funcionários, diretoria e torcedores.
Com apenas 5 jogos pelo Brasileirão, Zeca pode atuar por outra equipe na Série A, porém, o atleta não descarta atuar fora do país novamente.
"
